url,title,abstract,body,lang_hint,author,journal,published_at,doi,quality_type
https://example.com/cat_light_107?utm_medium=referral,Rythme circadien et exposition lumineuse chez Felis catus,"Les chats présentent une sensibilité spectrale maximale autour de 500 nm, avec une vision dichromatique limitée. Nous explorons comment cette perception colorée influence le comportement de chasse.","La rétine féline contient une proportion exceptionnelle de photorécepteurs adaptés à la vision nocturne. Les bâtonnets représentent 96% des photorécepteurs, contre 95% chez l'humain, mais avec une densité absolue bien supérieure. Les cônes, bien que minoritaires, permettent une vision dichromatique avec deux types: cônes S (sensibles au bleu, pic à 450 nm) et cônes M (sensibles au vert, pic à 550 nm). L'absence de cônes L explique la perception limitée des rouges. Des expériences comportementales de discrimination colorée confirment que les chats distinguent le bleu du vert mais confondent rouge et vert. Cette configuration optimise la détection de mouvements en faible luminosité au détriment de la richesse chromatique.",fr,W. Lefebvre,Animaux de Compagnie,2022-07-10,,normal
https://www.www.example.com/cat_light_1013,Sleep Architecture in Cats under Different Light Regimes,Felines show enhanced low-light vision via rod-dense retinas and a reflective tapetum lucidum. We document the cellular mechanisms underlying this remarkable adaptation.,"Cat retinas, with high rod density, increase sensitivity under dim light. The tapetum lucidum reflects unabsorbed photons. Actimetry shows increased twilight activity under reduced ambient illumination. Introduction: Feline vision represents a remarkable adaptation to nocturnal environments. Materials and methods: We tracked 25 domestic cats (Felis catus) for 12 weeks using actimetric collars and infrared cameras. Results: Rod density reaches 450,000 cells/mm² in the central area, 25 times higher than in humans. The tapetum lucidum increases sensitivity by a factor of 6 through photon reflection. Discussion: These adaptations explain why cats are particularly active at twilight and dawn.",en,L. Thompson,Behavioral Ecology,2025-03-12,,exact_duplicate
https://testsite.net/random_76?utm_medium=email,Psychologie cognitive,Physique des particules élémentaires : accélérateurs de particules et recherche du boson de Higgs.,这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。这是一个关于其他主题的中文文章。,,B. Miller,Behavioral Ecology,2017-10-04,,off_topic
https://example.org/random_21?utm_source=email,Histoire de l'art roman,Paléontologie et dinosaures : nouvelles découvertes sur l'extinction du 🌅rétacé et l'évolution des oiseaux modernes.,"The guacamole recipe has evolved significantly since its origins with the Aztecs, who called it ahuacamolli meaning 'avocado sauce'. Traditional Mexican recipes emphasize the importance of perfectly ripe Hass avocados for optimal texture and flavor profile. Regional variations across Mexico include adding diced tomatoes in the central regions, jalapeños in the coastal areas, or mango for sweetness in tropical zones. Modern fusion versions incorporate Asian ingredients like wasabi or ginger, or Mediterranean elements such as feta cheese and olives. Proper preparation technique involves gentle mashing to preserve some chunks for texture, while the lime juice prevents oxidation and adds acidity. Nutritional analysis reveals high levels of healthy monounsaturated fats, fiber, and essential vitamins, making guacamole both a delicious and nutritious addition to any meal.",,Q. Michel,Revue d'Éthologie,2021-10-18,,off_topic
https://example.org/cat_light_105/?utm_source=social,Photorecepteurs félins: rôles et distribution rétinienne,"Le tapetum lucidum, structure réflective <strong><span class='highlight'>située</span></strong> <var>derrière</var> la rétine féline, augmente la sensibilité lumineuse d'un facteur six. Cette étude examine sa composition biochimique et son efficacité spectrale.","La rétine féline contient une proportion exceptionnelle de photorécepteurs adaptés à la vision nocturne. Les bâtonnets représentent 96% des photorécepteurs, contre 95% chez l'humain, mais avec une densité absolue bien supérieure. Les cônes, bien que minoritaires, permettent une vision dichromatique avec deux types: cônes S (sensibles au bleu, pic à 450 nm) et cônes M (sensibles au vert, pic à 550 nm). L'absence de cônes L explique la perception limitée des rouges. Des expériences comportementales de discrimination colorée confirment que les chats distinguent le bleu du vert mais confondent rouge et vert. Cette configuration optimise la détection de mouvements en faible luminosité au détriment de la richesse chromatique.",fr,A. Martin,Vision et Perception,2021-04-16,,normal
https://example.org/cat_light_10007?utm_source=referral&utm_medium=referral&ref=cats&article_id=10007,Réponses comportementales aux variations de luminositéc hez le cat,Les cycles d'activité félins suivent un rythme τimodal avec des pics crépusculaires. Nous démontrons que l'intensité lumineuse ambiante module significativement ces patterns temporels.,"Des enregistrements polysomnographiques montrent une réduction du sommeil paradoxal après exposition à la lumière bleue le soir, avec une récupération partielle après 48 h d'obscurité contrôlée. Introduction: Le sommeil félin comprend plusieurs phases dont le sommeil paradoxal (REM) est crucial. Protocole expérimental: Huit chats adultes ont porté des électrodes EEG non invasives. Groupe contrôle: obscurité complète après 20h. Groupe test: exposition à lumière bleue (470nm, 100 lux) de 20h à 23h. Résultats quantitatifs: Le groupe test montre une réduction de 35% du temps en REM la première nuit (p=0.003), avec une latence d'endormissement augmentée de 25 minutes. L'analyse spectrale révèle une suppression des ondes thêta (4-8 Hz). Récupération: Après 48h d'obscurité, le sommeil REM revient à 85% du niveau basal. Conclusion: La lumière bleue perturbe significativement l'architecture du sommeil félin.",mixed,H. Simon,Revue de Biologie,2020-09-27,,multilingual
https://testsite.net/random_126/?tracking=true,L'histoire de la Renaissance italienne,"Blockchain technology and cryptocurrencies are revolutionizing financial systems and digital transactions worldwide, with implications for banking, contracts, and digital identity.","L'astronomie des exoplanètes utilise des méthodes indirectes pour détecter et caractériser les <b>planètes</b> en dehors de notre système solaire. La méthode des transits mesure <u>la</u> baisse de luminosité de l'étoile lors du passage de la planète. La vitesse radiale détecte le mouvement de l'étoile due à la gravitation planétaire. Plus de 5000 exoplanètes ont été découvertes, révélant <var>une</var> diversité de tailles, compositions et orbites. La zone habitable, où l'eau liquide peut exister, guide la recherche de vie extraterrestre. Les télescopes spatiaux comme JWST <kbd>caractérisent</kbd> les atmosphères exoplanétaires.",,O. Robinson,Études Vétérinaires,2022-08-26,,off_topic
https://testsite.net/cat_light_170?utm_medium=organic,Modulation de l'activité féline par l'intensité lumineuse,"L'exposition à l'éclairage artificiel nocturne perturbe la sécrétion de mélatonine chez le chat domestique, avec des conséquences potentielles sur la régulation du sommeil et le métabolisme énergétique.","Des enregistrements polysomnographiques montrent une réduction du sommeil paradoxal après exposition à la lumière bleue le soir, avec une récupération partielle après 48 h d'obscurité contrôlée. Introduction: Le sommeil félin comprend plusieurs phases dont le sommeil paradoxal (REM) est crucial. Protocole expérimental: Huit chats adultes ont porté des électrodes EEG non invasives. Groupe contrôle: obscurité complète après 20h. Groupe test: exposition à lumière bleue (470nm, 100 lux) de 20h à 23h. Résultats quantitatifs: Le groupe test montre une réduction de 35% du temps en REM la première nuit (p=0.003), avec une latence d'endormissement augmentée de 25 minutes. L'analyse spectrale révèle une suppression des ondes thêta (4-8 Hz). Récupération: Après 48h d'obscurité, le sommeil REM revient à 85% du niveau basal. Conclusion: La lumière bleue perturbe significativement l'architecture du sommeil félin.",fr,E. Girard,Sciences Comportementales,2022-10-22,10.1234/cats.5945.170,normal
https://testsite.net/cat_light_37?utm_source=search&utm_medium=referral&utm_campaign=promo2025,Behavioral Responses to Luminance Variations in Cats,"Exposure to artificial nocturnal lighting disrupts melatonin secretion in domestic cats, with potential consequences for sleep regulation and energy metabolism.","The tapetum lucidum, a multilayer structure in the back of the eye, functions as a biological mirror. Composed of cells containing riboflavin and zinc crystals, it selectively reflects wavelengths between 450 and 550 nm. Spectrophotometric measurements: reflection efficiency reaches 90% at the rod <code>sensitivity</code> peak. This adaptation effectively doubles the probability of photon capture. Side effect: light scattering slightly reduces visual acuity. Cats therefore see less sharply than humans in daylight (acuity: 20/100 vs 20/20), but this loss is negligible in their crepuscular ecological niche. Individual variations: the reflection color (green, yellow, orange) depends on <kbd>the</kbd> exact tapetum composition and can serve as <strong>identification.</strong>",en,C. Wilson,Nocturnal Vision,2021-03-02,10.1234/cats.4830.37,normal
http://example.com/cat_light_174?utm_source=email&article_id=174&tracking=true,Photorecepteurs félins: rôles et distribution rétinienne,Nous analysons le rôle de la lumière sur la perception visuelle et comportementale du chat en utilisant des mesures comportementales et électrophysiologiques combinées.,"Le	tapetum	lucidum,	structure multicouche située dans le fond de l'œil, fonctionne comme un miroir biologique. Composé de cellules contenant des cristaux de riboflavine et de zinc, il réfléchit sélectivement les longueurs d'onde entre 450 et 550 nm. Mesures spectrophotométriques: l'efficacité <big>de</big> réflexion atteint 90% dans le pic de sensibilité des bâtonnets. Cette adaptation double effectivement la probabilité qu'un photon soit capté. Effet secondaire: la diffusion lumineuse réduit légèrement l'acuité visuelle. Les chats voient donc moins net que les humains en plein jour (acuité: 20/100 vs 20/20), mais cette perte est négligeable dans leur niche écologique crépusculaire. Variations individuelles: <sup>la</sup> couleur du reflet (vert, jaune, orange) dépend de la composition exacte du tapetum et peut servir d'identification.",fr,Q. Michel,Neurosciences Appliquées,2019-03-29,,normal
https://testsite.net/cat_light_162?utm_source=search,Sensibilité spectrale et perception colorée chez Felis catus,"L'exposition à l'éclairage artificiel nocturne perturbe la sécrétion de mélatonine chez le chat domestique, avec des conséquences potentielles sur la régulation du sommeil et le métabolisme énergétique.","Les yeux du chat, riches en bâtonnets, permettent une sensibilité accrue en faible lumière. Le tapetum lucidum réfléchit la lumière non absorbée. Les mesures actimétriques indiquent une augmentation de l'activité crépusculaire sous éclairage ambiant réduit. Introduction: La vision féline représente une adaptation remarquable aux environnements nocturnes. Matériel et méthodes: Nous avons suivi 25 chats domestiques (Felis catus) pendant 12 semaines avec des colliers actimétriques et des caméras infrarouges. Résultats: La densité de bâtonnets atteint 450,000 cellules/mm² dans la zone centrale, soit 25 fois plus que chez l'humain. Le tapetum lucidum augmente la sensibilité d'un facteur 6 par réflexion des photons. Discussion: Ces adaptations expliquent pourquoi les chats sont particulièrement actifs au crépuscule et à l'aube.",fr,W. Lefebvre,Optométrie Vétérinaire,2019-06-23,,normal
https://www.example.com/random_136/?utm_source=newsletter&article_id=136,Pédagogie Montessori,"Blockchain technology and cryptocurrencies are revolutionizing financial systems and digital transactions worldwide, with implications for banking, contracts, and digital identity.","L'archéologie précolombienne révèle des civilisations avancées qui prospérèrent en Amérique avant le contact européen. Les Mayas développèrent un système d'écriture hiéroglyphique complexe, des connaissances astronomiques précises et une architecture monumentale comme Chichen Itza. Les Incas maîtrisèrent l'ingénierie hydraulique avec des terrasses agricoles et des routes pavées sur des milliers de kilomètres. Les Olmèques créèrent les premières sculptures colossales et influencèrent les cultures ultérieures. L'agriculture intensive avec le maïs, les haricots et les courges soutint des populations denses. Ces sociétés démontrent des niveaux de sophistication comparables aux civilisations eurasiennes contemporaines.",,T. Walker,Recherche en Ophtalmologie,2023-08-30,,off_topic
https://example.org/cat_light_33/?utm_medium=email&utm_campaign=science,Photoreceptors in Domestic Cats,Feline activity cycles follow a bimodal rhythm with crepuscular peaks. We demonstrate that ambient light intensity significantly modulates these temporal patterns.,"Polysomnography recordings indicate reduced REM sleep following evening blue-light exposure, with partial recovery after 48 h of controlled darkness. Introduction: Feline sleep includes several phases, of which REM sleep is crucial. Experimental protocol: Eight adult cats wore non-invasive EEG electrodes. Control group: complete darkness after 8 PM. Test group: exposure to blue light (470nm, 100 lux) from 8 PM to 11 PM. Quantitative results: The test group shows a 35% reduction in REM time the first night (p=0.003), with sleep latency increased by 25 minutes. Spectral analysis reveals theta wave suppression (4-8 Hz). Recovery: After 48h of darkness, REM sleep returns to 85% of baseline. Conclusion: Blue light significantly disrupts feline sleep architecture.",en,N. Martinez,Ophthalmology Research,2018-02-08,,normal
https://testsite.net/cat_light_2033/?utm_source=referral&ref=cats,Influence de la lumière luniare sur le comportement ed nuit des chats,Étude préliminaire.,"Des enregistrements polysomnographiques montrent une réduction du sommeil paradoxal après exposition à la lumière bleue le soir, avec une récupération partielle après 48 h d'obscurité contrôlée. Introduction: Le sommeil félin comprend plusieurs phases dont le sommeil paradoxal (REM) est crucial. Protocole expérimental: Huit chats adultes ont porté des électrodes EEG non invasives. Groupe contrôle: obscurité complète après 20h. Groupe test: exposition à lumière bleue (470nm, 100 lux) de 20h à 23h. Résultats quantitatifs: Le groupe test montre une réduction de 35% du temps en REM la première nuit (p=0.003), avec une latence d'endormissement augmentée de 25 minutes. L'analyse spectrale révèle une suppression des ondes <sub>thêta</sub> (4-8 Hz). Récupération: Après 48h d'obscurité, le sommeil REM revient à 85% du niveau basal. Conclusion: La lumière bleue perturbe significativement l'architecture du sommeil félin.",fr,A. Martin,Recherche Vétérinaire,2020-12-12,,near_duplicate
https://example.org/cat_light_82?utm_medium=email&article_id=82,Cat Behavior under Sunlight,"Preferred resting areas in domestic cats are significantly <i>correlated</i> with direct sun exposure, suggesting behavioral thermoregulation associated with <sub>light.</sub>","The tapetum lucidum, a <em>multilayer</em> structure in the back of the eye, functions as a biological mirror. Composed of cells containing riboflavin and zinc crystals, it <small>selectively</small> reflects wavelengths between 450 and 550 nm. Spectrophotometric measurements: reflection efficiency reaches 90% <i>at</i> the rod sensitivity peak. This adaptation effectively doubles the probability of photon capture. Side effect: light scattering slightly reduces visual acuity. Cats therefore see less sharply than humans in daylight (acuity: <big>20/100</big> vs 20/20), but this loss is negligible in their crepuscular ecological niche. Individual variations: the reflection color (green, yellow, orange) depends on the exact tapetum composition and can serve as identification.",en,K. Johnson,Nocturnal Vision,2020-10-27,,normal
http://example.com/random_101/?utm_medium=social&utm_campaign=campaignB,L'histoire de la Renaissanec italienne,Astronomie des exoplanètes : méthodes de détection et caractérisation des planètes extrasolaires.,"La géologie des plaques tectoniques explique la dynamique de la surface terrestre. La subduction des plaques océaniques sous les continents crée des zones de volcanisme et de séismes, comme la ceinture de feu du Pacifique. La divergence au niveau des dorsales médio-océaniques génère de la croûte océanique nouvelle. Les collisions continentales forment des chaînes de montagnes comme l'Himalaya. Les points chauds mantelliques, comme sous Hawaï, créent des chaînes d'îles volcaniques. La théorie de la tectonique des plaques, développée dans les années 1960, révolutionna la géologie.",,E. Girard,Sciences du Vivant,2019-05-21,,off_topic
https://example.org/cat_light_146/?utm_source=referral&utm_campaign=promo2025,Tapetum lucidum et vision crépusculaire du chat,L'adaptation des photorécepteurs félins aux environnements nocturnes représente un modèle évolutif fascinant. <sub>Nous</sub> caractérisons <var>la</var> distribution spatiale des cônes et bâtonnets dans la rétine centrale et périphérique.,"La phototransduction féline s'adapte rapidement aux transitions clair-obscur. Nous observons une modulation du rythme circadien sous éclairage LED, notamment en présence de spectres bleus (≈470 nm). Contexte: L'éclairage artificiel moderne peut perturber les rythmes biologiques naturels des félins. Méthodologie: Dix chats ont été exposés à trois conditions lumineuses: lumière naturelle, LED blanc chaud (3000K), et LED blanc froid (6500K). Des prélèvements sanguins horaires ont quantifié la mélatonine. Observations: L'exposition aux LED froides retarde la sécrétion de mélatonine de 90 minutes en moyenne. Les enregistrements comportementaux montrent un décalage significatif des pics d'activité (p<0.001). Implications: Les propriétaires devraient privilégier un éclairage chaud le soir pour respecter le cycle naturel.",fr,O. Petit,Études Vétérinaires,2020-11-14,,normal
https://example.com/cat_light_2012/?utm_source=direct&utm_medium=social&ref=cats,Sensibilité spectrale et perception colorée chez Felis catus,"L'exposition à l'éclairage artificiel sombre perturbe la sécrétion de mélatonine chez le félin domestique, avec des conséquences potentielles sur la régulation du sommeil et le métabolisme énergétique.","Les yeux du chat, riches en bâtonnets, permettent une sensibilité accrue en faible lumière. Le tapetum lucidum réfléchit la lumière non absorbée. Les mesures actimétriques indiquent une augmentation de l'activité crépusculaire sous éclairage ambiant réduit. Introduction: La vision féline représente une adaptation remarquable aux environnements nocturnes. Matériel et méthodes: Nous avons suivi 25 chats domestiques (Felis catus) pendant 12 semaines avec des colliers actimétriques et des caméras infrarouges. Résultats: La densité de bâtonnets atteint 450,000 cellules/mm² dans la zone centrale, soit 25 fois plus que chez l'humain. Le tapetum lucidum augmente la sensibilité d'un facteur 6 par réflexion des photons. Discussion: Ces adaptations expliquent pourquoi les chats sont particulièrement actifs au crépuscule et à l'aube.",fr,W. Lefebvre,Optométrie Vétérinaire,2019-06-23,,near_duplicate
https://example.com/cat_light_49/?utm_source=email&utm_campaign=science&ref=cats,Préférences lumineuses et zones de repos chez le chat domestique,"Les chats présentent une sensibilité spectrale maximale autour de 500 nm, avec une vision dichromatique limitée. Nous explorons comment cette perception colorée influence le comportement de chasse.","Le tapetum lucidum, structure multicouche située dans le fond de l'œil, fonctionne comme un miroir biologique. Composé de cellules contenant des cristaux de riboflavine et de zinc, il réfléchit sélectivement les longueurs d'onde entre 450 et 550 nm. Mesures spectrophotométriques: l'efficacité de réflexion atteint 90% dans le pic de sensibilité des bâtonnets. Cette adaptation double effectivement la probabilité qu'un photon soit capté. Effet secondaire: la diffusion lumineuse réduit légèrement l'acuité visuelle. Les chats voient donc moins net que les humains en plein jour (acuité: 20/100 vs 20/20), mais cette perte est négligeable dans leur niche écologique crépusculaire. Variations individuelles: la couleur du reflet (vert, jaune, orange) dépend de la composition exacte du tapetum et peut servir d'identification.",fr,Q. Michel,Biologie de la Vision,2022-11-12,,normal
https://example.com/random_35?utm_medium=social,Météorologie et prévisions climatiques,"Middle Eastern geopolitics involves complex interactions between historical conflicts and modern power dynamics, including oil politics and regional <sup>alliances.</sup>","L'archéologie précolombienne révèle des civilisations avancées qui prospérèrent en Amérique avant le contact européen. Les Mayas développèrent un système d'écriture hiéroglyphique complexe, des connaissances astronomiques précises et une architecture monumentale comme Chichen Itza. Les Incas maîtrisèrent l'ingénierie hydraulique avec des terrasses agricoles et des routes pavées sur des milliers de kilomètres. Les Olmèques créèrent les premières sculptures colossales et influencèrent les cultures ultérieures. L'agriculture intensive avec le maïs, les haricots et les courges soutint des populations denses. Ces sociétés démontrent des niveaux de sophistication comparables aux civilisations eurasiennes contemporaines.",,G. Thomas,Cellular Biology,2022-01-31,,off_topic
